INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-07-22T13:00:00-00:00,2019-07-22T14:00:00-00:00,7/22/2019,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,33.38813,3
2019-07-22T14:00:00-00:00,2019-07-22T15:00:00-00:00,7/22/2019,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,27.4242,3
2019-07-22T15:00:00-00:00,2019-07-22T16:00:00-00:00,7/22/2019,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,25.67023,3
2019-07-22T16:00:00-00:00,2019-07-22T17:00:00-00:00,7/22/2019,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,27.80973,3
2019-07-22T17:00:00-00:00,2019-07-22T18:00:00-00:00,7/22/2019,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,29.01034,3
2019-07-22T18:00:00-00:00,2019-07-22T19:00:00-00:00,7/22/2019,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,32.65725,3
2019-07-22T19:00:00-00:00,2019-07-22T20:00:00-00:00,7/22/2019,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,35.71575,3
2019-07-22T20:00:00-00:00,2019-07-22T21:00:00-00:00,7/22/2019,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,38.2393,3
2019-07-22T21:00:00-00:00,2019-07-22T22:00:00-00:00,7/22/2019,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,41.15992,3
2019-07-22T22:00:00-00:00,2019-07-22T23:00:00-00:00,7/22/2019,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,41.53365,3
2019-07-22T23:00:00-00:00,2019-07-23T00:00:00-00:00,7/22/2019,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,47.02904,3
2019-07-23T00:00:00-00:00,2019-07-23T01:00:00-00:00,7/22/2019,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,49.71886,3
2019-07-23T01:00:00-00:00,2019-07-23T02:00:00-00:00,7/22/2019,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,62.3571,3
2019-07-23T02:00:00-00:00,2019-07-23T03:00:00-00:00,7/22/2019,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,92.94745,3
2019-07-23T03:00:00-00:00,2019-07-23T04:00:00-00:00,7/22/2019,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,57.41744,3
2019-07-23T04:00:00-00:00,2019-07-23T05:00:00-00:00,7/22/2019,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,45.34838,3
2019-07-23T05:00:00-00:00,2019-07-23T06:00:00-00:00,7/22/2019,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,37.49512,3
2019-07-23T06:00:00-00:00,2019-07-23T07:00:00-00:00,7/22/2019,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,34.36091,3
2019-07-23T03:00:00-00:00,2019-07-23T04:00:00-00:00,7/22/2019,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.87849,4
2019-07-23T02:00:00-00:00,2019-07-23T03:00:00-00:00,7/22/2019,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.30126,4
2019-07-23T01:00:00-00:00,2019-07-23T02:00:00-00:00,7/22/2019,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.95801,4
